ell,Dl,minus_dDl,plus_dDl,BestFit
47.7,1480,50.8,50.8,1460
76.5,2030,54.7,54.7,2060
106,2960,65,65,2900
136,3870,76.9,76.9,3900
165,4890,86.6,86.6,4860
195,5460,90.6,90.6,5530
225,5790,87.1,87.1,5730
255,5370,76.9,76.9,5370
285,4630,62.5,62.5,4590
315,3600,47.2,47.2,3600
345,2630,33.9,33.9,2670
375,2030,24.8,24.8,2020
405,1750,20.7,20.7,1750
435,1790,20.7,20.7,1820
465,2160,22.8,22.8,2100
495,2420,25,25,2400
525,2570,25.9,25.9,2570
555,2550,25.1,25.1,2550
585,2360,22.7,22.7,2360
615,2100,19.9,19.9,2100
645,1880,17.5,17.5,1890
675,1810,16.4,16.4,1810
705,1880,16.8,16.8,1900
735,2100,18.2,18.2,2100
765,2320,19.7,19.7,2340
795,2460,20.7,20.7,2500
825,2520,20.5,20.5,2520
855,2390,19,19,2370
885,2080,16.6,16.6,2080
915,1740,13.7,13.7,1730
945,1420,11.1,11.1,1410
975,1170,9.29,9.29,1170
1000,1060,8.38,8.38,1060
1030,1050,8.3,8.3,1060
1060,1130,8.69,8.69,1130
1090,1210,9.11,9.11,1200
1120,1230,9.26,9.26,1240
1150,1210,8.99,8.99,1210
1180,1120,8.33,8.33,1120
1210,968,7.55,7.55,986
1240,864,6.64,6.64,859
1270,762,5.99,5.99,767
1300,732,5.69,5.69,725
1330,737,5.72,5.72,732
1360,775,5.94,5.94,767
1390,807,6.17,6.17,804
1420,809,6.26,6.26,817
1450,778,6.11,6.11,793
1480,729,5.75,5.75,731
1510,648,5.24,5.24,645
1540,551,4.72,4.72,553
1570,477,4.3,4.3,473
1600,420,4.04,4.04,419
1630,395,3.97,3.97,392
1660,392,4.03,4.03,387
1690,393,4.17,4.17,393
1720,398,4.32,4.32,397
1750,383,4.42,4.42,391
1780,375,4.46,4.46,372
1810,340,4.46,4.46,342
1840,308,4.46,4.46,307
1870,274,4.49,4.49,274
1900,250,4.6,4.6,250
1930,244,4.78,4.78,236
1960,232,5.03,5.03,231
1990,235,5.43,5.43,231
2020,232,5.87,5.87,231
2050,220,6.2,6.2,226
2080,214,6.53,6.53,215
2110,197,6.87,6.87,198
2140,176,7.24,7.24,178
2170,152,7.64,7.64,158
2200,139,8.11,8.11,141
2230,121,8.65,8.65,128
2260,116,9.26,9.26,120
2290,118,9.94,9.94,116
2320,116,10.7,10.7,113
2350,110,11.5,11.5,110
2380,120,12.4,12.4,106
2410,90.5,13.3,13.3,100
2440,103,14.4,14.4,92.7
2470,73.7,15.5,15.5,84.8
2500,61.3,20.9,20.9,78.8
